Month End Date,BATF Volume TY,brand_name
2012-07-01,39280.57,Baileys Original
2012-08-01,49503.54,Baileys Original
2012-09-01,55787.5,Baileys Original
2012-10-01,132594.56,Baileys Original
2012-11-01,173521.54,Baileys Original
2012-12-01,245526.51,Baileys Original
2013-01-01,49738.98,Baileys Original
2013-02-01,56835.31,Baileys Original
2013-03-01,80185.42,Baileys Original
2013-04-01,41085.65,Baileys Original
2013-05-01,52331.89,Baileys Original
2013-06-01,67111.79,Baileys Original
2013-07-01,39334.96,Baileys Original
2013-08-01,47161.74,Baileys Original
2013-09-01,53556.91,Baileys Original
2013-10-01,137002.4,Baileys Original
2013-11-01,162492.23,Baileys Original
2013-12-01,235798.0,Baileys Original
2014-01-01,40399.24,Baileys Original
2014-02-01,54060.91,Baileys Original
2014-03-01,76883.32,Baileys Original
2014-04-01,47010.38,Baileys Original
2014-05-01,50239.52,Baileys Original
2014-06-01,71125.39,Baileys Original
2014-07-01,37488.04,Baileys Original
2014-08-01,44209.1,Baileys Original
2014-09-01,59411.22,Baileys Original
2014-10-01,132429.51,Baileys Original
2014-11-01,153580.64,Baileys Original
2014-12-01,231641.7,Baileys Original
2015-01-01,41336.33,Baileys Original
2015-02-01,55719.25,Baileys Original
2015-03-01,81266.54,Baileys Original
2015-04-01,44012.61,Baileys Original
2015-05-01,49766.93,Baileys Original
2015-06-01,63126.35,Baileys Original
2015-07-01,41888.27,Baileys Original
2015-08-01,46078.29,Baileys Original
2015-09-01,62153.38,Baileys Original
2015-10-01,132861.72,Baileys Original
2015-11-01,154689.44,Baileys Original
2015-12-01,226157.54,Baileys Original
2016-01-01,41400.64,Baileys Original
2016-02-01,58370.02,Baileys Original
2016-03-01,77186.19,Baileys Original
2016-04-01,44363.17,Baileys Original
2016-05-01,52640.09,Baileys Original
2016-06-01,63304.18,Baileys Original
2016-07-01,36817.4958333333,Baileys Original
2016-08-01,46937.9916666667,Baileys Original
2016-09-01,63859.1125,Baileys Original
2016-10-01,122712.854166667,Baileys Original
2016-11-01,154624.858333333,Baileys Original
2016-12-01,234568.2125,Baileys Original
2017-01-01,45475.4833333333,Baileys Original
2017-02-01,56992.5,Baileys Original
2017-03-01,80405.975,Baileys Original
2017-04-01,41878.2541666667,Baileys Original
2017-05-01,56593.4666666667,Baileys Original
2017-06-01,68729.8916666667,Baileys Original
2017-07-01,36308.1958333333,Baileys Original
2017-08-01,54172.0166666667,Baileys Original
2017-09-01,55966.7583333333,Baileys Original
2017-10-01,128919.683333333,Baileys Original
2017-11-01,174511.725,Baileys Original
2017-12-01,235646.5125,Baileys Original
2018-01-01,45078.2833333333,Baileys Original
2018-02-01,55931.5875,Baileys Original
2018-03-01,84437.2541666667,Baileys Original
2018-04-01,42911.575,Baileys Original
2018-05-01,58356.4333333333,Baileys Original
2018-06-01,70912.2125,Baileys Original
2018-07-01,37000.1041666667,Baileys Original
2018-08-01,50384.3375,Baileys Original
2018-09-01,60936.4791666667,Baileys Original
2018-10-01,136817.095833333,Baileys Original
2018-11-01,187144.245833333,Baileys Original
2018-12-01,233997.6875,Baileys Original
2019-01-01,48321.1083333333,Baileys Original
2019-02-01,62440.1791666667,Baileys Original
2019-03-01,89927.075,Baileys Original
2019-04-01,43890.2708333333,Baileys Original
2019-05-01,62237.25,Baileys Original
2019-06-01,68195.6,Baileys Original
2019-07-01,39261.0166666667,Baileys Original
2019-08-01,52913.2666666667,Baileys Original
2019-09-01,65852.2,Baileys Original
2019-10-01,179775.195833333,Baileys Original
2019-11-01,196419.179166667,Baileys Original
2019-12-01,186696.5625,Baileys Original
2020-01-01,43289.0166666667,Baileys Original
2020-02-01,57565.4958333333,Baileys Original
2020-03-01,74757.3083333333,Baileys Original
2020-04-01,47865.025,Baileys Original
2020-05-01,59397.5625,Baileys Original
2020-06-01,58099.9791666667,Baileys Original
2020-07-01,43781.1625,Baileys Original
2020-08-01,54422.5375,Baileys Original
2020-09-01,68342.9458333333,Baileys Original
2020-10-01,130528.925,Baileys Original
2020-11-01,155740.516666667,Baileys Original
2020-12-01,224603.125,Baileys Original
2021-01-01,50010.4125,Baileys Original
2021-02-01,75740.2666666667,Baileys Original
2021-03-01,92441.0375,Baileys Original
2021-04-01,47812.8958333333,Baileys Original
2021-05-01,54327.8708333333,Baileys Original
2021-06-01,63926.7458333333,Baileys Original
